UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0104899	0.01568825676923558	0.025422027123223414	0.02477060631399816	0.038567227435823165	0.02485546046901434	0.025890621696964367	0.015284809575437402	0.01609502078895195	0.03780397064884809	0.0392208729057686	0.024197555570167593	0.025319515873798847
0.015559	0.0231636516804061	0.035508246522814486	0.03609059821379367	0.05484388437571145	0.03526036804178829	0.03575586346662284	0.023003553072062827	0.02338682636649193	0.05451619092409254	0.05518250534238642	0.03578496893587506	0.03637040991180637
0.03279495	0.04356827348873424	0.06205563186512199	0.06632108687483489	0.09235811618026558	0.06182297975160184	0.06230189553401916	0.04335706167880545	0.04376626855559849	0.09204682891560491	0.09275387073168669	0.06607362245730655	0.06658433324154475
0.0708395	0.09130146620086348	0.10512587030754077	0.13259032611770624	0.15128123919708877	0.1046325654641122	0.10558034451803872	0.0907136295766536	0.0917251267563755	0.15064644475961378	0.15187139351880116	0.13191251173610696	0.13328518220965518
0.179926	0.19158997703020966	0.18097443314010536	0.24464256672583656	0.23680373869110047	0.18029382188797807	0.18171010746630376	0.19100568975807022	0.19226806733673038	0.23608421739199564	0.23757315288326	0.24370307317957401	0.24529421424103282
0.246667	0.24570956624463253	0.21674404545567247	0.29413015518980207	0.26847102274899126	0.2160260569605091	0.21736176877214336	0.2449876796332228	0.24651568811817884	0.26775345296381003	0.2691387527872623	0.29357640792033723	0.294694451621571
0.3194829999999999	0.31001639087729604	0.25743144882899005	0.3354670620447161	0.30055931628680416	0.2564622060524028	0.25826358453522674	0.30903990802129283	0.31104972495002486	0.2997809680944264	0.30114424697263975	0.3348495399752223	0.33613887511880275
0.399397	0.37351685609012775	0.30089858439716577	0.3679242177272374	0.32769498600152397	0.29988489704872473	0.3018853410445444	0.3728330682238408	0.3746096429456845	0.32712879590719224	0.3282536308113671	0.3673652847382305	0.36846982284161334
0.4997515	0.4624656800631282	0.37285042940176444	0.3902559975976602	0.3572264969467438	0.3716567344593011	0.3741982813684431	0.46155819663388165	0.46356302511391995	0.35646654393273053	0.3579358875253533	0.38972680290316314	0.39085664704905304
0.604875	0.5640832895330641	0.4425152424699683	0.38838599441575017	0.3780563845787382	0.44085785100874764	0.44348465738731424	0.5630920452517842	0.5652715859594258	0.37745942745618516	0.37878128793927646	0.38764341911257033	0.38916483538715696
0.815967	0.7707544526739247	0.6208131203600675	0.26676682652634864	0.34538162060322974	0.6195697220093452	0.6225136928703708	0.7695724876954588	0.7718250023686402	0.34447519654456904	0.3461703297916942	0.2657547865858573	0.26763070268895284
