UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0100113	0.017481020842618385	0.025820282653203342	0.02768854875295502	0.039589309185355165	0.02460845681386374	0.027353659088904362	0.016403732733606083	0.018645073920264623	0.03799028376030026	0.04150072389382627	0.026097032082105096	0.029757952165292315
0.0226354	0.03645906869362719	0.05238631112106527	0.05572359363842106	0.07865931803678908	0.052307440383989046	0.05249301099701008	0.03637561738573545	0.03652778020983595	0.07855254655506407	0.07876277440320857	0.0556300434361916	0.05581711366584115
0.0892926	0.10839367273464982	0.11991467935156325	0.1544731508767361	0.1694337613709515	0.11975813802104388	0.12005633456151546	0.10819121277878659	0.10856830877870725	0.1692342475093862	0.16962765767151106	0.1543319751033054	0.15466700247152465
0.163757	0.17480660857163602	0.1695183053038028	0.23026612907675068	0.22641485626241806	0.16930104464440787	0.16971687129541574	0.17450931376814083	0.1751039695135829	0.22613654650691895	0.22665489059684854	0.2300272373856955	0.23054358087474017
0.230592	0.2327832434481153	0.208109855217081	0.28255378694523925	0.2623433520062886	0.20785156519043857	0.20833302803052467	0.23252526544592805	0.23296191657206636	0.2621611899834518	0.2625393135848787	0.28235531782745493	0.28274294509615056
0.296176	0.2923069500704464	0.2426550397280702	0.3280058845011249	0.28823332936852275	0.24243932452965958	0.24296326163481682	0.29204846990973	0.292580373672976	0.28804373280953316	0.2884194083432363	0.3277954210294293	0.32820734621800446
0.367542	0.3488500235822787	0.28145247023999515	0.359301896086933	0.31531582937780295	0.2811836800553597	0.2817774633552056	0.34856004785523104	0.3491550461440726	0.31514675565810224	0.3155321081350258	0.3590699824461452	0.3594939808606837
0.443507	0.4201922291991517	0.32969903060313727	0.38328583358331086	0.3445070198114904	0.329417552623876	0.33006571919206984	0.41984660915984995	0.42059611034604805	0.3443016415475673	0.344728664342412	0.3831263981879737	0.3834464677833813
0.531981	0.48686733095289764	0.38771291991213436	0.39286754010350877	0.36586392560977904	0.387340540220421	0.38813117669667735	0.4864886334511528	0.48726682680303063	0.3656686673499363	0.3661365999032608	0.3926439201348881	0.39308616434543475
0.6398985	0.5902410318195649	0.4604712817950323	0.38246360615433606	0.37892156542075706	0.46008309069892434	0.4608914521730884	0.5898293158468193	0.5905608654446253	0.3787091901579643	0.37915595747295666	0.3822540128610773	0.38268224089753383
0.798469	0.7572350249790797	0.6060197775821148	0.2819893686287823	0.35750898646884394	0.6056859746684674	0.6063492909335033	0.7568137079270557	0.7575080647556163	0.35726160548290203	0.3577304610083014	0.28170141216333494	0.28239294437129336
