UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0100103	0.015709234398144388	0.02592978569614381	0.024887382662367702	0.039861063071658064	0.02545796912372282	0.026463763589330242	0.015280769184534648	0.01604957777891563	0.03931720270459156	0.04062999330545046	0.024300620152441426	0.025405961620671446
0.0223516	0.03447199202356116	0.050044935971495674	0.05284405023030809	0.0751674415486237	0.05002130575949571	0.05007240393799589	0.03445162931215902	0.03449281348799346	0.07513335254179536	0.075190697386394	0.052820638222356955	0.05286521932484421
0.080887	0.10109128484370793	0.11340570560963943	0.14493318758165075	0.16114561934178953	0.11336024304101577	0.11346299255064726	0.10104039463135192	0.10112929778496484	0.16108784909682966	0.16120874684650033	0.14487960103988307	0.14499932204004937
0.155115	0.16575553856405814	0.1643808945051548	0.220731273383923	0.22048468132746574	0.16431460591617356	0.164459516234536	0.16568864448947895	0.16582302700377552	0.2203990742375301	0.22055790416007567	0.22064987837081576	0.22080330229721856
0.225025	0.22770902062615161	0.2039791553347206	0.2780022386701454	0.2579668496775145	0.20389575341617758	0.20404994640754803	0.2276430049139924	0.22779040471825746	0.25790999361618827	0.2580217168388777	0.2779458207132059	0.27806361120876566
0.287615	0.28252234137622806	0.23856918189848	0.32091565753539625	0.2845840578820525	0.23847476281098284	0.23864265807480461	0.2824295684176077	0.28259488581669456	0.2845214518137757	0.28464512064955133	0.3208543210486994	0.3209940105573102
0.357543	0.34176675244386345	0.2787456069729612	0.35667573751236165	0.3129951678186049	0.2786775695366778	0.27882978973734357	0.34168158356303263	0.3418495772206819	0.3129195603097294	0.3130620069458739	0.35660586766513924	0.3567391874772359
0.436635	0.41465344765786427	0.3251308759082559	0.3813214359783978	0.34101646189394813	0.32502838592905825	0.3252225033080103	0.4145352359471477	0.41475511892358297	0.34093875152293385	0.34108407023234527	0.3812758775992161	0.38139834844265147
0.524624	0.4816549106161856	0.38481180435504214	0.3915950958318429	0.3629812565765738	0.3846931532672146	0.38492140492354526	0.481518958426653	0.48178993352291266	0.3629272893431709	0.3630571386309512	0.3915382843710476	0.39166056302703756
0.634897	0.586009802532647	0.46036667321063574	0.38348625353824395	0.37698913115006727	0.46021815753404893	0.46047454611600885	0.5858743243071444	0.5861401717024718	0.37691809783583297	0.37704445815212473	0.38340984232303893	0.3835480941157508
0.795873	0.756775255669158	0.6101057898541719	0.2813081150484682	0.352452592358854	0.6100065942523849	0.61024559603973	0.7566718658030753	0.7569023771093126	0.352362588489944	0.3525416746717208	0.28120518039461906	0.2814058103435553
