UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0100103	0.01586218676839738	0.025939847418804864	0.0251100386852644	0.03987088627024414	0.025484797453797975	0.02650321937013615	0.015557320029047061	0.016173111371272763	0.0392071115177786	0.04055634883909318	0.02451126272886579	0.02560407353320065
0.0225882	0.034511053981372726	0.050089301953357826	0.0528994805560249	0.0752454831962521	0.05006397750713468	0.05011312948711375	0.034487538091135264	0.03453405211477386	0.07519612713104724	0.07527794218133907	0.05287140621236579	0.052928477592557296
0.0803718	0.10070588304539392	0.11312784283535333	0.14440678694142609	0.16077031416500948	0.11306891066546695	0.11318723463003703	0.10065434855068064	0.10075634100168424	0.16070721892610523	0.16082586956611675	0.1443448139603308	0.14445039170538262
0.1548509999999999	0.1654910741982353	0.16420053429025466	0.22045373669657833	0.22027687157803838	0.16412004292327603	0.16427843447531237	0.1654138282808876	0.16555375457249197	0.22020191697786642	0.22036252167918566	0.2203709068494593	0.22054644296088607
0.224942	0.22754046082334314	0.20385946462628704	0.2778124559861964	0.25784135901023153	0.20379889094057485	0.20393096227830335	0.22747464326182634	0.22762550239716117	0.25778167472129465	0.2579107407262141	0.27776230511624794	0.27788073021030507
0.287176	0.28224445727537334	0.23837348023489632	0.3207338615638057	0.2844838797927161	0.23828442633246746	0.2384588893943575	0.2821560585688658	0.28232595308527225	0.2844102189092088	0.28454915232999045	0.3206637146345726	0.3207995510423013
0.357436	0.3416649229443374	0.2787787940851998	0.3565728615367716	0.31298979685813727	0.2786920530392659	0.2788607887910111	0.3415439964737861	0.3417632761289768	0.31292910076759145	0.3130591000187629	0.3564970159897397	0.3566461790928977
0.436635	0.41462013264006076	0.32511797071776477	0.38128165701600353	0.34096018823582963	0.3250307886355436	0.32522910692875695	0.4145121931268719	0.4147125819445012	0.34089490201922695	0.3410244345837572	0.3812263524023268	0.3813482379320151
0.524893	0.48169897228827785	0.38486676403281866	0.3915349849410757	0.3630226979501404	0.3847271177454344	0.3849786878243137	0.48156136689337964	0.48182800452648383	0.362968724890381	0.36308874581808026	0.3914683406620005	0.39160153231032097
0.635493	0.5864618907865864	0.46063436217534187	0.383379461526344	0.3770513430841194	0.460487824574563	0.4607754528599222	0.5863170914406722	0.5866277815071905	0.37699015563817456	0.3771223183894547	0.38330499518072875	0.3834443546937749
0.796362	0.757153764782419	0.6104567788833559	0.2811113041689621	0.35256024928476315	0.6103109563575255	0.6105811613671094	0.7570459574234001	0.7572788903876441	0.35248377760745253	0.35264503461973984	0.2809932420245652	0.2811944124767066
