UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0263969	0.021648940828304993	0.027645715902358748	0.032909469713430985	0.04380713920019211	0.02473543782405376	0.031020988144816235	0.018560371440756993	0.025040875230252328	0.039681849595521	0.048867664382745445	0.029288080072385776	0.03639491984211914
0.08589034999999995	0.0814398920417124	0.08108965721734358	0.11906566199337072	0.11662806433614713	0.07510073820568057	0.08767550822077386	0.07659038489599342	0.08632436611155324	0.11042852256164648	0.12360535704195244	0.1111195247752356	0.126522868424696
0.156719	0.15794141346132748	0.14236047773998903	0.2091195573047285	0.18967841274063318	0.13577265394624247	0.14956801402386177	0.14927019106870545	0.16528340901919913	0.18262303571745842	0.1985094090211144	0.2022626968052231	0.21778147509315968
0.22241249999999996	0.21995992469264544	0.18148046725576292	0.2625762247455543	0.22871823310363928	0.1734037138667673	0.18975960821459933	0.21172501876180022	0.22872489839791438	0.2199884691334661	0.2387096596328173	0.25462713139456405	0.271274145285604
0.2890705	0.27151163433040615	0.2195313414489572	0.3072332638023853	0.2616593079464492	0.21086501594827112	0.22695589072516464	0.2613198466181394	0.2816707756230791	0.2558826472993659	0.26900118659522204	0.3005656267313221	0.3142925131377328
0.358255	0.33032609051014816	0.2589189390455293	0.34262725019967893	0.2938711347191132	0.25049481343019747	0.266583919390565	0.3187584250356555	0.3434604524122326	0.2845357390570641	0.3002001611488765	0.33629289643789434	0.34913845083317413
0.43754499999999996	0.4100529682546652	0.3147614656915477	0.3732838084381932	0.32195672632715694	0.3030959837568606	0.32420603119497804	0.39720041369045006	0.41966246031229415	0.31609330415612796	0.3293546007567689	0.36702168167992216	0.37970710965171234
0.527229	0.48174085621503016	0.35780205377399893	0.38488946200895074	0.3398346038238939	0.34692051906856824	0.3681432951053209	0.47089627691209546	0.4933213031077893	0.3338296742082312	0.34621066667439554	0.3791298655382315	0.39032076442278374
0.6377045	0.5808324520032931	0.4305098103457739	0.37645357087729314	0.36629974913642227	0.4206911653187432	0.4421489274296103	0.5695530417032109	0.5913740513415203	0.3598157988843611	0.3727906525389464	0.37127577133622686	0.3822962755035532
0.787342	0.7480414897970379	0.5779062812835984	0.2816964894192527	0.3567260136549993	0.5679021718510697	0.5897652898476412	0.7394640498642348	0.7588292743664289	0.350926290176899	0.36345467760091055	0.2742107650495321	0.288652442112612
