bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-228.1705734054278	0.0	0.0	-228.1705734054278	0.0	0.0	0.0	0.0	-284.33466823397066	0.0	0.0	-284.33466823397066	0.0	0.0	0.0	0.0
2	-0.6117249227688051	0.5493131066144287	0.0	-0.6117249227688051	0.5493131066144287	0.0	0.0	0.0	-2.565666059606098	0.020731962286488194	0.0	-2.565666059606098	0.020731962286488194	0.0	0.0	0.0
3	0.8486939717957215	0.40856863407112887	0.0	0.8486939717957215	0.40856863407112887	0.0	0.0	0.0	-2.3770473216718315	0.03026426309298842	0.0	-2.3770473216718315	0.03026426309298842	0.0	0.0	0.0
4	-0.6010292134201705	0.5562382323915332	0.0	-0.6010292134201705	0.5562382323915332	0.0	0.0	0.0	-3.471110526861448	0.003147995553746262	0.0	-3.471110526861448	0.003147995553746262	0.0	0.0	0.0
5	-0.43932554375748856	0.666687311900114	0.0	-0.43932554375748856	0.666687311900114	0.0	0.0	0.0	-1.1834401186712753	0.2550471792717955	0.0	-1.1834401186712753	0.2550471792717955	0.0	0.0	0.0
6	0.7744656695994602	0.4499482250937248	0.0	0.7744656695994602	0.4499482250937248	0.0	0.0	0.0	-0.26751589990874625	0.7924894651890851	0.0	-0.26751589990874625	0.7924894651890851	0.0	0.0	0.0
7	-1.633886849627063	0.12179798386191286	0.0	-1.633886849627063	0.12179798386191286	0.0	0.0	0.0	-0.6058711152075195	0.5530978023706519	0.0	-0.6058711152075195	0.5530978023706519	0.0	0.0	0.0
8	1.4809002498711386	0.15805324576225446	0.0	1.4809002498711386	0.15805324576225446	0.0	0.0	0.0	-1.26769242520079	0.22303978596393922	0.0	-1.26769242520079	0.22303978596393922	0.0	0.0	0.0
9	0.791133624212549	0.4404341507480921	0.0	0.791133624212549	0.4404341507480921	0.0	0.0	0.0	1.2971597978291693	0.21296562076567774	0.0	1.2971597978291693	0.21296562076567774	0.0	0.0	0.0
10	0.3889517480921908	0.7024377499898189	0.0	0.3889517480921908	0.7024377499898189	0.0	0.0	0.0	0.9616409161904893	0.35052676948726313	0.0	0.9616409161904893	0.35052676948726313	0.0	0.0	0.0
