UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0101338	0.01579185633048099	0.023411080780829478	0.024652020511434534	0.036134062789389174	0.02280736183010144	0.024346986648316197	0.015238135417241734	0.016366220660547926	0.035186054137470016	0.037156674375011044	0.023845543662438448	0.02562752522405388
0.0136183	0.020816769187772102	0.034199855071781665	0.03266162285193957	0.05219904151997605	0.03397246735654476	0.03439066805218418	0.020650321983127662	0.020989096690259522	0.0519405347220075	0.052553108736363395	0.032501984219591454	0.03286722564159386
0.0374196	0.049952661336306825	0.06845487779915117	0.07558939713312982	0.10166362598286378	0.0681300004203712	0.06881306939656308	0.049685649156222325	0.050180711883658635	0.1012365568174879	0.10207112879671847	0.07528407428255264	0.07580804471699504
0.07689560000000001	0.10091571969692002	0.1147424621044435	0.14468303040190122	0.1634680539059667	0.11412594673765332	0.11536487959428582	0.10040002115923514	0.1015590579396745	0.16288487297138618	0.16422687560126173	0.14410471432885785	0.14516742837932556
0.157412	0.17545543898024613	0.1725257518885568	0.23053733433816326	0.22706343681914573	0.1718462564456247	0.17324985299911916	0.17486238097005713	0.1761064415082019	0.22640974257893903	0.2275654065350168	0.2298670386517103	0.23127361545978256
0.2429155	0.2395227345399546	0.21384613070738342	0.2873524931498781	0.26595147830896976	0.2129955847373734	0.21448887752005136	0.23895219452437183	0.24034238912790187	0.26528003639042824	0.2666639574456881	0.28665225152235935	0.28795926013605244
0.30914	0.30326664677741655	0.25291807089702395	0.3339756399717375	0.29664656135214906	0.25174013032464654	0.2538377054308674	0.3023253631404779	0.3043474684306216	0.2959541509575635	0.2975056748413471	0.33310479468845944	0.3346086621639941
0.406142	0.3783846482157154	0.3048975178240631	0.3717562637228751	0.32969221164629275	0.3040335067115	0.30585916645783734	0.3774007185534049	0.379005085391628	0.3291314999533961	0.33025620486389506	0.3711769518437176	0.3723108447012186
0.485496	0.4532288381649195	0.3626116947816924	0.38926744765786625	0.35558009760437664	0.36140107212078904	0.3636088062258765	0.4520864285890541	0.4544694792536668	0.35476729329092793	0.3562338225237282	0.38851864898130833	0.38988935449464796
0.618005	0.5693979305925306	0.44819153658202676	0.3853768984899339	0.37501285844450916	0.44683717050629035	0.44946143866946664	0.5681514391581182	0.5706375653063546	0.3743666112666928	0.37573647615893996	0.3848025125541842	0.3860168522020069
0.779116	0.7501875640910728	0.6114155162096626	0.28074107453639174	0.34677967407698884	0.6097082882860807	0.6126363023783836	0.748787805053437	0.7514836601741067	0.3458958169195081	0.3474832774764299	0.27970683481522945	0.28179988352658153
