bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-225.34559937064643	0.0	0.0	-225.34559937064643	0.0	0.0	0.0	0.0	-283.8310699104038	0.0	0.0	-283.8310699104038	0.0	0.0	0.0	0.0
2	0.4197744752856007	0.683525693473774	0.0	0.4197744752856007	0.683525693473774	0.0	0.0	0.0	-0.5784524985840515	0.5757521269298003	0.0	-0.5784524985840515	0.5757521269298003	0.0	0.0	0.0
3	-0.0005659406371558104	0.9995595746701254	0.0	-0.0005659406371558104	0.9995595746701254	0.0	0.0	0.0	-2.3267268507679946	0.042271653843358736	0.0	-2.3267268507679946	0.042271653843358736	0.0	0.0	0.0
4	-0.5084232737667479	0.62218119410148	0.0	-0.5084232737667479	0.62218119410148	0.0	0.0	0.0	0.1860377967670925	0.8561341870944015	0.0	0.1860377967670925	0.8561341870944015	0.0	0.0	0.0
5	-1.532988866764512	0.15627154132699922	0.0	-1.532988866764512	0.15627154132699922	0.0	0.0	0.0	0.27142765874332075	0.7915826270610122	0.0	0.27142765874332075	0.7915826270610122	0.0	0.0	0.0
6	-0.26185358742583686	0.7987477164240316	0.0	-0.26185358742583686	0.7987477164240316	0.0	0.0	0.0	1.4458005209112421	0.17881059147053602	0.0	1.4458005209112421	0.17881059147053602	0.0	0.0	0.0
7	0.10702378076846511	0.9168864014848539	0.0	0.10702378076846511	0.9168864014848539	0.0	0.0	0.0	-0.44326966093261855	0.6670051217049084	0.0	-0.44326966093261855	0.6670051217049084	0.0	0.0	0.0
8	1.4651196603955912	0.17360256679606811	0.0	1.4651196603955912	0.17360256679606811	0.0	0.0	0.0	-0.7028637127391696	0.4981696165845261	0.0	-0.7028637127391696	0.4981696165845261	0.0	0.0	0.0
9	0.35825220594470664	0.7275995054265088	0.0	0.35825220594470664	0.7275995054265088	0.0	0.0	0.0	-1.7096696991038023	0.11810840340120621	0.0	-1.7096696991038023	0.11810840340120621	0.0	0.0	0.0
10	-0.25305006415462933	0.8053536551010891	0.0	-0.25305006415462933	0.8053536551010891	0.0	0.0	0.0	-0.0722855983273754	0.9437990329268175	0.0	-0.0722855983273754	0.9437990329268175	0.0	0.0	0.0
