UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.0100144	0.0122418719026991	0.02689689739086971	0.020259496178354	0.0404472632971965	0.02410681630956348	0.030039215915111626	0.010758344925191602	0.013902928416194598	0.03664399342031973	0.04360036927103277	0.01848517582025181	0.022298205263592625
0.0189056	0.035454337097308934	0.05019818712772402	0.05402859686918801	0.07496920389218298	0.0500466055939232	0.05034146645200656	0.03533483228133876	0.03556299451380113	0.0747662262377073	0.07512344516348946	0.05381603516174865	0.05418624061656296
0.0844861	0.10353583901905775	0.11550494333152372	0.14869570222312836	0.16425840327301333	0.1151377613874385	0.11589925452546329	0.10324706954374796	0.10383041035279726	0.1638164731823914	0.16468415618808416	0.14828450360566744	0.14905706297228002
0.142428	0.15516954667078725	0.15668724811726414	0.21073062302937828	0.21284942279750582	0.15622885835167566	0.15718625067209327	0.1546787111457805	0.15568088839400002	0.21244713522696862	0.2132710603809251	0.21038562480358172	0.21117060526554904
0.213389	0.21680092887916705	0.19687691718732303	0.2694001640138778	0.2526028171950789	0.1964700410858115	0.1973394159844864	0.21630885719510745	0.21729716495613965	0.25217268866437453	0.25303224850069744	0.26908074793362746	0.2697820281939549
0.28139899999999995	0.2757716155958432	0.23367728829121193	0.3161674465665022	0.2814720446700238	0.23318744549283787	0.23421733587484114	0.27531805154535605	0.27630504392995137	0.2810221991640256	0.2819338272397993	0.3156602679317042	0.31667193108656244
0.339847	0.32851597763485657	0.26938504874357294	0.3506459568981491	0.3068042017242841	0.26880710293505217	0.26993121177884255	0.32790762610614094	0.328984386038868	0.3064070949684403	0.3071502399538735	0.3503572419861078	0.35096970847834635
0.414965	0.39959646541308286	0.31430058710045206	0.3776150152587335	0.3347217976739612	0.31366659549596654	0.3148403419024689	0.39901519170427047	0.400190082650821	0.3343350918381208	0.33499355341938425	0.3773338965444826	0.37793445768608414
0.49672	0.4648129784807935	0.37067327403434547	0.39027512885777577	0.35843111419739926	0.3699818530511538	0.3714340795328388	0.46426794348155526	0.46552146225262314	0.357976946107494	0.35879809870968155	0.38999371636625607	0.3907067356724081
0.6111125	0.5626863387132711	0.4435341597561278	0.3879601057157946	0.3774017305479072	0.44287487717394963	0.44428183966026613	0.5618321417566257	0.5634377425724045	0.3769718190077007	0.37780070789537723	0.3875157282948192	0.38831889900685274
0.8108215	0.7674800016771627	0.6269637992130798	0.2651794473963276	0.3358701623812265	0.6260484882833128	0.6277379386316888	0.7667523107054496	0.7682099095359389	0.3352584924314947	0.3364562179033845	0.26436330393295304	0.2658615193586493
