bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-54.57455187800619	3.376946370951185e-18	4.659370797362257e-11	-54.57455187800619	3.376946370951185e-18	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	-0.6934042045234221	0.500256823380339	0.39997430810305656	-0.6934042045234221	0.500256823380339	0.39997430810305656	0.347860613317508	0.17706784402264467
2	0.3306680702639777	0.7461637104311695	4.659370797362257e-11	0.3306680702639777	0.7461637104311695	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	-1.3022231515938514	0.21543414989792395	0.39997430810305656	-1.3022231515938514	0.21543414989792395	0.39997430810305656	0.347860613317508	0.17706784402264467
3	-0.7533933434806688	0.46463807534646573	4.659370797362257e-11	-0.7533933434806688	0.46463807534646573	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	0.28214692381983403	0.7822723479629384	0.39997430810305656	0.28214692381983403	0.7822723479629384	0.39997430810305656	0.347860613317508	0.17706784402264467
4	-0.7203490362647496	0.4840602099753831	4.659370797362257e-11	-0.7203490362647496	0.4840602099753831	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	-3.2498860363109836	0.006327128210716819	0.39997430810305656	-3.2498860363109836	0.006327128210716819	0.39997430810305656	0.347860613317508	0.17706784402264467
5	-0.3103196575647951	0.7612360283473846	4.659370797362257e-11	-0.3103196575647951	0.7612360283473846	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	-0.3985190628497537	0.6967151457698668	0.39997430810305656	-0.3985190628497537	0.6967151457698668	0.39997430810305656	0.347860613317508	0.17706784402264467
6	0.10671378214886172	0.9166449108976107	4.659370797362257e-11	0.10671378214886172	0.9166449108976107	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	-1.277105810174749	0.2238977721035177	0.39997430810305656	-1.277105810174749	0.2238977721035177	0.39997430810305656	0.347860613317508	0.17706784402264467
7	0.9088595730053463	0.3799634384730929	4.659370797362257e-11	0.9088595730053463	0.3799634384730929	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	0.17373528523356155	0.8647489522202318	0.39997430810305656	0.17373528523356155	0.8647489522202318	0.39997430810305656	0.347860613317508	0.17706784402264467
8	0.8246644712074545	0.42443202583052253	4.659370797362257e-11	0.8246644712074545	0.42443202583052253	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	0.10439201405935392	0.9184510352640645	0.39997430810305656	0.10439201405935392	0.9184510352640645	0.39997430810305656	0.347860613317508	0.17706784402264467
9	0.7625987825580901	0.4593104051812654	4.659370797362257e-11	0.7625987825580901	0.4593104051812654	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	0.5981914168040862	0.55998740168639	0.39997430810305656	0.5981914168040862	0.55998740168639	0.39997430810305656	0.347860613317508	0.17706784402264467
10	0.6134014940791415	0.549445133384372	4.659370797362257e-11	0.6134014940791415	0.549445133384372	4.659370797362257e-11	1.046261926939986e-16	2.6701462575968843e-10	-0.3085495924585936	0.7622056945510627	0.39997430810305656	-0.3085495924585936	0.7622056945510627	0.39997430810305656	0.347860613317508	0.17706784402264467
