bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-49.36289579510158	2.7518742749332735e-11	1.4262701641018172e-06	-49.36289579510158	2.7518742749332735e-11	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-2.5899683981299626	0.03593118921276107	0.5027360321464369	-2.5899683981299626	0.03593118921276107	0.5027360321464369	0.10026642630720056	0.7732214307745159
2	0.11844498230028559	0.9090415898101136	1.4262701641018172e-06	0.11844498230028559	0.9090415898101136	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-0.5941856720998558	0.5710802501526722	0.5027360321464369	-0.5941856720998558	0.5710802501526722	0.5027360321464369	0.10026642630720056	0.7732214307745159
3	-1.1506427860708353	0.28764432983267785	1.4262701641018172e-06	-1.1506427860708353	0.28764432983267785	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	0.49661569614827905	0.6346707128008293	0.5027360321464369	0.49661569614827905	0.6346707128008293	0.5027360321464369	0.10026642630720056	0.7732214307745159
4	0.6274536958913087	0.5502642759008286	1.4262701641018172e-06	0.6274536958913087	0.5502642759008286	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-0.6663062127350323	0.526552035031838	0.5027360321464369	-0.6663062127350323	0.526552035031838	0.5027360321464369	0.10026642630720056	0.7732214307745159
5	-1.262817167437896	0.24708215576019743	1.4262701641018172e-06	-1.262817167437896	0.24708215576019743	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-0.6225601057899952	0.5533038171766033	0.5027360321464369	-0.6225601057899952	0.5533038171766033	0.5027360321464369	0.10026642630720056	0.7732214307745159
6	0.36955558104301395	0.7226380909700791	1.4262701641018172e-06	0.36955558104301395	0.7226380909700791	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-0.40680480357135607	0.6963006817648192	0.5027360321464369	-0.40680480357135607	0.6963006817648192	0.5027360321464369	0.10026642630720056	0.7732214307745159
7	-1.1455959597971237	0.2895830914918234	1.4262701641018172e-06	-1.1455959597971237	0.2895830914918234	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-1.226231572302535	0.25974085470828007	0.5027360321464369	-1.226231572302535	0.25974085470828007	0.5027360321464369	0.10026642630720056	0.7732214307745159
8	1.182370125362602	0.27564557933981343	1.4262701641018172e-06	1.182370125362602	0.27564557933981343	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-0.9739853921259145	0.3624950181940385	0.5027360321464369	-0.9739853921259145	0.3624950181940385	0.5027360321464369	0.10026642630720056	0.7732214307745159
9	-0.8501053751678974	0.42338009903170426	1.4262701641018172e-06	-0.8501053751678974	0.42338009903170426	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	0.01668868755980435	0.9871504777572012	0.5027360321464369	0.01668868755980435	0.9871504777572012	0.5027360321464369	0.10026642630720056	0.7732214307745159
10	-0.8448546415493766	0.42273227502825006	1.4262701641018172e-06	-0.8448546415493766	0.42273227502825006	1.4262701641018172e-06	6.35686450283223e-10	5.553466529455614e-06	-1.2038782448454102	0.26303519563634675	0.5027360321464369	-1.2038782448454102	0.26303519563634675	0.5027360321464369	0.10026642630720056	0.7732214307745159
