bin	CHB_two_sided_statistic	CHB_two_sided_pvalue	CHB_two_sided_meta_pvalue	CHB_one_sided_statistic	CHB_one_sided_pvalue	CHB_one_sided_meta_pvalue	CHB_conservative_one_sided_meta_pvalue	CHB_heterozygosity_meta_pvalue	YRI_two_sided_statistic	YRI_two_sided_pvalue	YRI_two_sided_meta_pvalue	YRI_one_sided_statistic	YRI_one_sided_pvalue	YRI_one_sided_meta_pvalue	YRI_conservative_one_sided_meta_pvalue	YRI_heterozygosity_meta_pvalue
1	-10.098461051087375	1.5608294759751332e-07	8.62568704676242e-05	-10.098461051087375	1.5608294759751332e-07	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	-2.359421122047839	0.03460749223861471	0.0975915196680098	-2.359421122047839	0.03460749223861471	0.0975915196680098	0.060749962514406876	0.14422002225981218
2	-0.41218337448970627	0.6874723288548874	8.62568704676242e-05	-0.41218337448970627	0.6874723288548874	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	-1.0401838785014759	0.3187571662917704	0.0975915196680098	-1.0401838785014759	0.3187571662917704	0.0975915196680098	0.060749962514406876	0.14422002225981218
3	-1.7105823759602445	0.11089480117012121	8.62568704676242e-05	-1.7105823759602445	0.11089480117012121	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	-0.42344389295564033	0.6788924283557345	0.0975915196680098	-0.42344389295564033	0.6788924283557345	0.0975915196680098	0.060749962514406876	0.14422002225981218
4	-0.863257357453137	0.40491690909186995	8.62568704676242e-05	-0.863257357453137	0.40491690909186995	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	0.14948387541933905	0.8836544377147963	0.0975915196680098	0.14948387541933905	0.8836544377147963	0.0975915196680098	0.060749962514406876	0.14422002225981218
5	1.8698795257837157	0.08608289014790126	8.62568704676242e-05	1.8698795257837157	0.08608289014790126	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	-1.4558000327203955	0.17110145851516628	0.0975915196680098	-1.4558000327203955	0.17110145851516628	0.0975915196680098	0.060749962514406876	0.14422002225981218
6	-2.3211600537421773	0.037162852269595266	8.62568704676242e-05	-2.3211600537421773	0.037162852269595266	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	-3.1752253434841475	0.007305313836869983	0.0975915196680098	-3.1752253434841475	0.007305313836869983	0.0975915196680098	0.060749962514406876	0.14422002225981218
7	0.14506798634307763	0.8870649917413935	8.62568704676242e-05	0.14506798634307763	0.8870649917413935	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	0.5934296842990655	0.5639094450028501	0.0975915196680098	0.5934296842990655	0.5639094450028501	0.0975915196680098	0.060749962514406876	0.14422002225981218
8	0.601815326712641	0.5576460146280713	8.62568704676242e-05	0.601815326712641	0.5576460146280713	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	0.4988118000181899	0.6262431845863903	0.0975915196680098	0.4988118000181899	0.6262431845863903	0.0975915196680098	0.060749962514406876	0.14422002225981218
9	-0.413190618491897	0.686748819317761	8.62568704676242e-05	-0.413190618491897	0.686748819317761	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	-1.077108247001873	0.30260268182294947	0.0975915196680098	-1.077108247001873	0.30260268182294947	0.0975915196680098	0.060749962514406876	0.14422002225981218
10	0.4699008430984565	0.6462078138025911	8.62568704676242e-05	0.4699008430984565	0.6462078138025911	8.62568704676242e-05	1.829254918811245e-06	1.4521453286279163e-06	0.36039790782940667	0.7243355420866113	0.0975915196680098	0.36039790782940667	0.7243355420866113	0.0975915196680098	0.060749962514406876	0.14422002225981218
