UKB_WBfreq_median	CHBfreq_mean	YRIfreq_mean	CHBhet_mean	YRIhet_mean	YRIfreq_lower	YRIfreq_upper	CHBfreq_lower	CHBfreq_upper	YRIhet_lower	YRIhet_upper	CHBhet_lower	CHBhet_upper
0.017433	0.03767915571428571	0.0011022919047619048	0.02694252753160887	0.0021698820651250574	0.0	0.0029816993214285695	0.0002311604761904762	0.13704926301190473	0.0	0.005653838269106304	0.00046007667541934287	0.06580215511447525
0.03971525	0.038349514	0.033796263	0.02957394808879248	0.053656515505466615	0.007494209325	0.07512143749999999	0.0014441745750000002	0.10694781332500002	0.01547582754454692	0.09624822698524153	0.002147881521684416	0.07309625423056823
0.0781316	0.077669907	0.1081018365	0.11638702942064663	0.13978691296534532	0.039450202625	0.18303818978749997	0.04102547625	0.12783372087499997	0.09101282674768546	0.2417979384557241	0.054109287839835755	0.18129507795049615
0.156438	0.17936888499999998	0.16111114099999999	0.21549383964644098	0.19536181942514147	0.08971071485000001	0.23148734142499994	0.10455095787499999	0.25770629049999993	0.13339013933328916	0.26527367060351165	0.15214412273267292	0.2930847728693196
0.2449325	0.2735436585	0.20185190149999999	0.2936822247508043	0.2232424015352103	0.12155671363750001	0.289618118	0.1724453764625	0.36241498712500003	0.15666745505506482	0.2924068503985715	0.21493392432974143	0.35509559889531833
0.3205285	0.31286393	0.1738426415	0.349417825789204	0.2418874492444003	0.10397569287499998	0.2537847997499999	0.23440521575	0.42367706074999995	0.17874288863282137	0.2944235732447279	0.29861007307145837	0.4041903949981144
0.4009925	0.31067963	0.21736108449999997	0.356301266832746	0.27264444541791955	0.1551215224625	0.2913252156	0.22895635975	0.40320995362499984	0.19783133300270916	0.3374051222648335	0.2888616977535904	0.4080403351230621
0.4833845	0.44927185	0.27337965799999997	0.4273753660759	0.30263846779898423	0.17228010015	0.34579286355	0.3681856874999999	0.5395084474999999	0.22949916141889362	0.3705605157044957	0.385695762462485	0.45916419260193997
0.592071	0.6667476	0.46481484999999995	0.3614643801676	0.353382240020388	0.3410128315	0.5638426349999999	0.56621369	0.7432159875	0.28995511140755603	0.4159291071971815	0.31126862812382	0.40423315930066245
0.787963	0.7249190952380952	0.5599646523809524	0.27780542677590475	0.35905350320382	0.4546901596428572	0.6627203467857141	0.644249836904762	0.7995954619047618	0.29894598083727003	0.41315865904016447	0.21250286622220002	0.3473865864826071
